23.0;1;11;0;0.0;3.9999999999999996
48.0;8;8;0;0.0;6.400000000000001
57.0;0;7;0;0.0;10.800000000000004
60.0;23;18;0;0.0;3.5999999999999996
92.0;19;16;16;0.0;4.3999999999999995
100.0;9;6;17;0.0;9.200000000000003
110.0;13;17;24;0.0;4.8
125.0;0;23;27;0.0;9.200000000000003
127.0;18;5;14;0.0;6.000000000000001
145.0;13;18;1;0.0;2.0
149.0;18;1;9;0.0;7.600000000000002
170.0;9;13;22;0.0;3.9999999999999996
188.0;19;17;11;0.0;15.200000000000008
191.0;15;12;27;0.0;3.5999999999999996
192.0;11;12;83;0.0;3.5999999999999996
209.0;3;9;42;0.0;4.8
233.0;14;23;37;0.0;11.600000000000005
237.0;7;16;25;0.0;14.800000000000008
240.0;16;9;27;0.0;5.2
266.0;12;11;61;0.0;6.000000000000001
266.0;11;16;33;0.0;5.2
284.0;33;17;12;0.0;6.400000000000001
291.0;7;23;70;0.0;6.400000000000001
301.0;7;5;158;0.0;9.600000000000003
313.0;1;8;83;0.0;3.5999999999999996
330.0;11;18;92;0.0;13.200000000000006
355.0;28;14;134;0.0;13.600000000000007
356.0;18;9;15;0.0;4.3999999999999995
409.0;13;4;256;0.0;6.000000000000001
422.0;17;13;76;0.0;12.000000000000005
430.0;13;8;169;0.0;7.600000000000002
451.0;19;2;155;0.0;8.400000000000002
457.0;3;23;17;0.0;8.800000000000002
476.0;11;34;8;0.0;9.200000000000003
493.0;26;34;162;0.0;3.1999999999999997
495.0;5;4;35;0.0;7.600000000000002
521.0;28;13;47;0.0;6.000000000000001
529.0;10;18;61;0.0;8.800000000000002
546.0;10;13;32;0.0;2.0
547.0;33;14;215;0.0;7.600000000000002
572.0;11;5;239;0.0;4.8
573.0;7;11;16;0.0;7.200000000000002
587.0;21;22;198;0.0;17.200000000000003
588.0;0;14;31;0.0;5.6000000000000005
603.0;17;12;238;0.0;4.3999999999999995
607.0;12;18;362;0.0;2.4
616.0;12;8;34;0.0;5.6000000000000005
629.0;4;3;6;0.0;2.8
645.0;15;10;364;0.0;6.000000000000001
650.0;7;19;310;0.0;4.8
669.0;22;16;349;0.0;15.200000000000008
672.0;13;19;157;0.0;4.8
682.0;9;14;74;0.0;8.400000000000002
712.0;25;20;474;0.0;2.0
720.0;17;25;424;0.0;4.8
724.0;15;6;252;0.0;3.5999999999999996
758.0;10;2;44;0.0;3.9999999999999996
