2019-11-17 11:40:00.666972, [INFO] New scenario manager or reset. Reading in all scenarios from storage!
2019-11-17 11:40:00.778688, [INFO] Registering agent factory for CONTROLLER
2019-11-17 11:40:00.782257, [INFO] Registering agent factory for CAR
2019-11-17 11:40:12.088786, [INFO] Round #70 Step #1.0, collect_data=True
2019-11-17 11:40:12.135050, [INFO] Round #71 Step #1.0, collect_data=True
2019-11-17 11:40:12.175445, [INFO] Round #72 Step #1.0, collect_data=True
2019-11-17 11:40:12.226248, [INFO] Round #73 Step #1.0, collect_data=True
2019-11-17 11:40:12.284505, [INFO] Round #74 Step #1.0, collect_data=True
2019-11-17 11:40:12.321104, [INFO] Round #75 Step #1.0, collect_data=True
2019-11-17 11:40:12.361857, [INFO] Round #76 Step #1.0, collect_data=True
2019-11-17 11:40:12.410368, [INFO] Round #77 Step #1.0, collect_data=True
2019-11-17 11:40:12.453850, [INFO] Round #78 Step #1.0, collect_data=True
2019-11-17 11:40:12.493490, [INFO] Round #79 Step #1.0, collect_data=True
2019-11-17 11:40:12.557121, [INFO] Round #80 Step #1.0, collect_data=True
2019-11-17 11:40:12.599536, [INFO] Round #81 Step #1.0, collect_data=True
2019-11-17 11:40:12.642705, [INFO] Round #82 Step #1.0, collect_data=True
2019-11-17 11:40:12.685112, [INFO] Round #83 Step #1.0, collect_data=True
2019-11-17 11:40:12.732631, [INFO] Round #84 Step #1.0, collect_data=True
2019-11-17 11:40:12.777592, [INFO] Round #85 Step #1.0, collect_data=True
2019-11-17 11:40:12.830993, [INFO] Round #86 Step #1.0, collect_data=True
2019-11-17 11:40:12.875252, [INFO] Round #87 Step #1.0, collect_data=True
2019-11-17 11:40:12.921983, [INFO] Round #88 Step #1.0, collect_data=True
2019-11-17 11:40:12.974310, [INFO] Round #89 Step #1.0, collect_data=True
2019-11-17 11:40:13.028992, [INFO] Round #90 Step #1.0, collect_data=True
2019-11-17 11:40:13.074177, [INFO] Round #91 Step #1.0, collect_data=True
2019-11-17 11:40:13.120862, [INFO] Round #92 Step #1.0, collect_data=True
2019-11-17 11:40:13.179570, [INFO] Round #93 Step #1.0, collect_data=True
2019-11-17 11:40:13.236097, [INFO] Round #94 Step #1.0, collect_data=True
2019-11-17 11:40:13.303098, [INFO] Round #95 Step #1.0, collect_data=True
2019-11-17 11:40:13.353553, [INFO] Round #96 Step #1.0, collect_data=True
2019-11-17 11:40:13.403984, [INFO] Round #97 Step #1.0, collect_data=True
2019-11-17 11:40:13.469976, [INFO] Round #98 Step #1.0, collect_data=True
2019-11-17 11:40:13.524865, [INFO] Round #99 Step #1.0, collect_data=True
2019-11-17 11:40:13.580501, [INFO] Round #100 Step #1.0, collect_data=True
2019-11-17 11:40:13.634910, [INFO] Round #101 Step #1.0, collect_data=True
2019-11-17 11:40:13.687081, [INFO] Round #102 Step #1.0, collect_data=True
2019-11-17 11:40:13.733761, [INFO] Round #103 Step #1.0, collect_data=True
2019-11-17 11:40:13.798490, [INFO] Round #104 Step #1.0, collect_data=True
2019-11-17 11:40:13.827102, [INFO] Round #105 Step #1.0, collect_data=True
2019-11-17 11:40:13.870475, [INFO] Round #106 Step #1.0, collect_data=True
2019-11-17 11:40:13.917119, [INFO] Round #107 Step #1.0, collect_data=True
2019-11-17 11:40:13.967988, [INFO] Round #108 Step #1.0, collect_data=True
2019-11-17 11:40:14.014733, [INFO] Round #109 Step #1.0, collect_data=True
2019-11-17 11:40:14.060409, [INFO] Round #110 Step #1.0, collect_data=True
2019-11-17 11:40:14.115610, [INFO] Round #111 Step #1.0, collect_data=True
2019-11-17 11:40:14.158600, [INFO] Round #112 Step #1.0, collect_data=True
2019-11-17 11:40:14.217631, [INFO] Round #113 Step #1.0, collect_data=True
2019-11-17 11:40:14.288467, [INFO] Round #114 Step #1.0, collect_data=True
2019-11-17 11:40:14.333070, [INFO] Round #115 Step #1.0, collect_data=True
2019-11-17 11:40:14.376747, [INFO] Round #116 Step #1.0, collect_data=True
2019-11-17 11:40:14.442757, [INFO] Round #117 Step #1.0, collect_data=True
2019-11-17 11:40:14.481827, [INFO] Round #118 Step #1.0, collect_data=True
2019-11-17 11:40:14.521801, [INFO] Round #119 Step #1.0, collect_data=True
2019-11-17 11:40:14.572766, [INFO] Round #120 Step #1.0, collect_data=True
2019-11-17 11:40:14.617245, [INFO] Round #121 Step #1.0, collect_data=True
2019-11-17 11:40:14.659452, [INFO] Round #122 Step #1.0, collect_data=True
2019-11-17 11:40:14.705710, [INFO] Round #123 Step #1.0, collect_data=True
2019-11-17 11:40:14.753814, [INFO] Round #124 Step #1.0, collect_data=True
2019-11-17 11:40:14.798880, [INFO] Round #125 Step #1.0, collect_data=True
2019-11-17 11:40:14.877462, [INFO] Round #126 Step #1.0, collect_data=True
2019-11-17 11:40:14.929753, [INFO] Round #127 Step #1.0, collect_data=True
2019-11-17 11:40:15.001182, [INFO] Round #128 Step #1.0, collect_data=True
2019-11-17 11:40:15.050035, [INFO] Round #129 Step #1.0, collect_data=True
2019-11-17 11:40:15.090884, [INFO] Round #130 Step #1.0, collect_data=True
2019-11-17 11:40:15.142120, [INFO] Round #131 Step #1.0, collect_data=True
2019-11-17 11:40:15.188623, [INFO] Round #132 Step #1.0, collect_data=True
2019-11-17 11:40:15.230585, [INFO] Round #133 Step #1.0, collect_data=True
2019-11-17 11:40:15.294611, [INFO] Round #134 Step #1.0, collect_data=True
2019-11-17 11:40:15.333307, [INFO] Round #135 Step #1.0, collect_data=True
2019-11-17 11:40:15.378695, [INFO] Round #136 Step #1.0, collect_data=True
2019-11-17 11:40:15.421802, [INFO] Round #137 Step #1.0, collect_data=True
2019-11-17 11:40:15.538517, [INFO] Round #138 Step #1.0, collect_data=True
2019-11-17 11:40:15.656332, [INFO] Round #139 Step #1.0, collect_data=True
2019-11-17 11:40:15.703587, [INFO] Round #140 Step #1.0, collect_data=True
2019-11-17 11:40:15.751075, [INFO] Round #141 Step #1.0, collect_data=True
2019-11-17 11:40:15.812532, [INFO] Round #142 Step #1.0, collect_data=True
2019-11-17 11:40:15.872489, [INFO] Round #143 Step #1.0, collect_data=True
2019-11-17 11:40:15.917506, [INFO] Round #144 Step #1.0, collect_data=True
2019-11-17 11:40:15.964748, [INFO] Round #145 Step #1.0, collect_data=True
2019-11-17 11:40:16.017970, [INFO] Round #146 Step #1.0, collect_data=True
2019-11-17 11:40:16.064160, [INFO] Round #147 Step #1.0, collect_data=True
2019-11-17 11:40:16.102663, [INFO] Round #148 Step #1.0, collect_data=True
2019-11-17 11:40:16.140638, [INFO] Round #149 Step #1.0, collect_data=True
2019-11-17 11:40:16.230499, [INFO] Round #150 Step #1.0, collect_data=True
2019-11-17 11:40:16.298948, [INFO] Round #151 Step #1.0, collect_data=True
2019-11-17 11:40:16.412231, [INFO] Round #152 Step #1.0, collect_data=True
2019-11-17 11:40:16.562230, [INFO] Round #153 Step #1.0, collect_data=True
2019-11-17 11:40:16.637169, [INFO] Round #154 Step #1.0, collect_data=True
2019-11-17 11:40:16.831151, [INFO] Round #155 Step #1.0, collect_data=True
2019-11-17 11:40:16.951048, [INFO] Round #156 Step #1.0, collect_data=True
2019-11-17 11:40:17.024089, [INFO] Round #157 Step #1.0, collect_data=True
2019-11-17 11:40:17.149231, [INFO] Round #158 Step #1.0, collect_data=True
2019-11-17 11:40:17.343339, [INFO] Round #159 Step #1.0, collect_data=True
2019-11-17 11:40:17.587203, [INFO] Round #160 Step #1.0, collect_data=True
2019-11-17 11:40:17.727066, [INFO] Round #161 Step #1.0, collect_data=True
2019-11-17 11:40:17.778120, [INFO] Round #162 Step #1.0, collect_data=True
2019-11-17 11:40:17.869245, [INFO] Round #163 Step #1.0, collect_data=True
